Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Tue, Oct 25, 2022;8:00p;Los Angeles Clippers;94;Oklahoma City Thunder;108;Box Score;;13,105;Paycom Center;;season;;Tue, Oct 25, 2022;Los Angeles Clippers;0;;Tue, Oct 25, 2022;Oklahoma City Thunder;1
Tue, Oct 25, 2022;10:00p;Golden State Warriors;105;Phoenix Suns;134;Box Score;;17,071;Footprint Center;;season;;Tue, Oct 25, 2022;Golden State Warriors;0;;Tue, Oct 25, 2022;Phoenix Suns;1
Wed, Oct 26, 2022;7:00p;Orlando Magic;92;Cleveland Cavaliers;103;Box Score;;0;Rocket Mortgage Fieldhouse;;season;;Wed, Oct 26, 2022;Orlando Magic;0;;Wed, Oct 26, 2022;Cleveland Cavaliers;1
Wed, Oct 26, 2022;7:00p;Atlanta Hawks;118;Detroit Pistons;113;Box Score;;17,987;Little Caesars Arena;;season;;Wed, Oct 26, 2022;Atlanta Hawks;1;;Wed, Oct 26, 2022;Detroit Pistons;0
Wed, Oct 26, 2022;7:30p;Brooklyn Nets;99;Milwaukee Bucks;110;Box Score;;17,341;Fiserv Forum;;season;;Wed, Oct 26, 2022;Brooklyn Nets;0;;Wed, Oct 26, 2022;Milwaukee Bucks;1
Wed, Oct 26, 2022;7:30p;Charlotte Hornets;131;New York Knicks;134;Box Score;OT;19,812;Madison Square Garden (IV);;season;;Wed, Oct 26, 2022;Charlotte Hornets;0;;Wed, Oct 26, 2022;New York Knicks;1
Wed, Oct 26, 2022;7:30p;Philadelphia 76ers;109;Toronto Raptors;119;Box Score;;19,800;Scotiabank Arena;;season;;Wed, Oct 26, 2022;Philadelphia 76ers;0;;Wed, Oct 26, 2022;Toronto Raptors;1
Wed, Oct 26, 2022;8:00p;Indiana Pacers;109;Chicago Bulls;124;Box Score;;18,306;United Center;;season;;Wed, Oct 26, 2022;Indiana Pacers;0;;Wed, Oct 26, 2022;Chicago Bulls;1
Wed, Oct 26, 2022;8:00p;San Antonio Spurs;122;Minnesota Timberwolves;134;Box Score;;16,165;Target Center;;season;;Wed, Oct 26, 2022;San Antonio Spurs;0;;Wed, Oct 26, 2022;Minnesota Timberwolves;1
Wed, Oct 26, 2022;9:00p;Houston Rockets;101;Utah Jazz;109;Box Score;;18,206;Vivint Arena;;season;;Wed, Oct 26, 2022;Houston Rockets;0;;Wed, Oct 26, 2022;Utah Jazz;1
Wed, Oct 26, 2022;10:00p;Los Angeles Lakers;99;Denver Nuggets;110;Box Score;;19,520;Ball Arena;;season;;Wed, Oct 26, 2022;Los Angeles Lakers;0;;Wed, Oct 26, 2022;Denver Nuggets;1
Wed, Oct 26, 2022;10:00p;Miami Heat;119;Portland Trail Blazers;98;Box Score;;18,588;Moda Center;;season;;Wed, Oct 26, 2022;Miami Heat;1;;Wed, Oct 26, 2022;Portland Trail Blazers;0
Thu, Oct 27, 2022;7:30p;Dallas Mavericks;129;Brooklyn Nets;125;Box Score;OT;18,039;Barclays Center;;season;;Thu, Oct 27, 2022;Dallas Mavericks;1;;Thu, Oct 27, 2022;Brooklyn Nets;0
Thu, Oct 27, 2022;8:00p;Los Angeles Clippers;110;Oklahoma City Thunder;118;Box Score;;14,510;Paycom Center;;season;;Thu, Oct 27, 2022;Los Angeles Clippers;0;;Thu, Oct 27, 2022;Oklahoma City Thunder;1
Thu, Oct 27, 2022;10:00p;Miami Heat;110;Golden State Warriors;123;Box Score;;18,064;Chase Center;;season;;Thu, Oct 27, 2022;Miami Heat;0;;Thu, Oct 27, 2022;Golden State Warriors;1
