#	Player	Team	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	ORB	DRB	REB	AST	STL	BLK	TOV	PF	
73	Rick Barry	-	794	28,825.0	18,395	7,252	16,163	.449	73	221	.330	3,818	4,243	.900	510	2,366	5,168	4,017	1,104	269	574	2,264	
74	Tracy McGrady	-	938	30,661.3	18,381	6,709	15,413	.435	1,081	3,198	.338	3,882	5,202	.746	1,300	3,976	5,276	4,161	1,137	807	2,029	1,661	
75	Julius Erving	PHI	836	28,677.0	18,364	7,237	14,276	.507	46	176	.261	3,844	4,950	.777	2,067	3,534	5,601	3,224	1,509	1,293	2,322	2,286	
76	Glen Rice	-	1000	34,985.0	18,336	6,776	14,867	.456	1,559	3,896	.400	3,225	3,813	.846	946	3,441	4,387	2,097	958	265	1,733	2,361	
77	Dave Bing	-	901	32,769.0	18,327	6,962	15,769	.441	0	0	.000	4,403	5,683	.775	418	741	3,420	5,397	483	89	216	2,615	
78	World B. Free	-	886	26,893.0	17,955	6,512	14,289	.456	213	632	.337	4,718	6,264	.753	1,010	1,418	2,428	3,320	910	224	1,866	2,270	
79	Calvin Murphy	HOU	1002	30,607.0	17,949	7,247	15,030	.482	10	72	.139	3,445	3,864	.892	499	952	2,103	4,402	1,165	51	822	3,250	
80	Lou Hudson	-	890	29,794.0	17,940	7,392	15,129	.489	0	0	.000	3,156	3,960	.797	436	718	3,926	2,432	516	98	249	2,439	
81	Chris Mullin	-	986	32,155.0	17,911	6,740	13,243	.509	815	2,120	.384	3,616	4,178	.865	1,026	3,008	4,034	3,448	1,531	548	2,313	2,050	
82	Lenny Wilkens	-	1077	38,064.0	17,772	6,189	14,327	.432	0	0	.000	5,394	6,973	.774	118	279	5,030	7,211	174	26	0	3,285	
83	Bailey Howell	-	950	30,627.0	17,770	6,515	13,585	.480	0	0	.000	4,740	6,224	.762	0	0	9,383	1,853	0	0	0	3,498	
84	Magic Johnson	LAL	906	33,251.0	17,707	6,211	11,949	.520	325	1,073	.303	4,960	5,850	.848	1,601	4,955	6,556	10,136	1,724	374	3,506	2,050	
85	Shawn Marion	-	1163	40,100.6	17,700	7,289	15,056	.484	791	2,390	.331	2,331	2,877	.810	2,732	7,370	10,102	2,199	1,758	1,235	1,750	2,535	
86	Rudy Gay *	-	1120	34,559.7	17,642	6,670	14,771	.452	1,186	3,429	.346	3,116	3,898	.799	1,447	4,836	6,283	2,280	1,231	798	2,245	2,524	
87	Rolando Blackman	-	980	32,087.0	17,620	6,886	13,967	.493	229	667	.343	3,619	4,309	.840	1,047	2,229	3,276	2,981	715	271	1,829	1,634	
88	Otis Thorpe	-	1257	39,818.0	17,602	6,873	12,593	.546	3	64	.047	3,853	5,612	.687	3,447	6,923	10,370	2,730	841	501	2,772	4,146	
