Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sat, Nov 12, 2022	4:00p	Brooklyn Nets	110	Los Angeles Clippers	95	Box Score		17,777	Crypto.com Arena		
Sat, Nov 12, 2022	6:00p	Utah Jazz	112	Washington Wizards	121	Box Score		13,673	Capital One Arena		
Sat, Nov 12, 2022	7:00p	Boston Celtics	117	Detroit Pistons	108	Box Score		20,190	Little Caesars Arena		
Sat, Nov 12, 2022	7:00p	Toronto Raptors	104	Indiana Pacers	118	Box Score		13,089	Gainbridge Fieldhouse		
Sat, Nov 12, 2022	7:30p	Atlanta Hawks	109	Philadelphia 76ers	121	Box Score		20,245	Wells Fargo Center		
Sat, Nov 12, 2022	8:00p	Charlotte Hornets	115	Miami Heat	132	Box Score		19,600	Kaseya Center		
Sat, Nov 12, 2022	8:30p	Portland Trail Blazers	112	Dallas Mavericks	117	Box Score		20,277	American Airlines Center		
Sat, Nov 12, 2022	8:30p	Houston Rockets	106	New Orleans Pelicans	119	Box Score		15,367	Smoothie King Center		
Sun, Nov 13, 2022	12:00p	Oklahoma City Thunder	145	New York Knicks	135	Box Score		18,325	Madison Square Garden (IV)		
Sun, Nov 13, 2022	6:00p	Minnesota Timberwolves	129	Cleveland Cavaliers	124	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sun, Nov 13, 2022	6:00p	Memphis Grizzlies	92	Washington Wizards	102	Box Score		17,667	Capital One Arena		
Sun, Nov 13, 2022	7:30p	Utah Jazz	98	Philadelphia 76ers	105	Box Score		19,761	Wells Fargo Center		
Sun, Nov 13, 2022	8:00p	Denver Nuggets	126	Chicago Bulls	103	Box Score		21,602	United Center		
Sun, Nov 13, 2022	9:00p	Golden State Warriors	115	Sacramento Kings	122	Box Score		16,410	Golden 1 Center		
Sun, Nov 13, 2022	9:30p	Brooklyn Nets	103	Los Angeles Lakers	116	Box Score		18,040	Crypto.com Arena		
Mon, Nov 14, 2022	7:00p	Toronto Raptors	115	Detroit Pistons	111	Box Score		16,988	Little Caesars Arena		
Mon, Nov 14, 2022	7:00p	Charlotte Hornets	112	Orlando Magic	105	Box Score		15,018	Amway Center		
Mon, Nov 14, 2022	7:30p	Oklahoma City Thunder	122	Boston Celtics	126	Box Score			TD Garden		
Mon, Nov 14, 2022	7:30p	Phoenix Suns	112	Miami Heat	113	Box Score		19,600	Kaseya Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Nov 14, 2022	8:00p	Los Angeles Clippers	122	Houston Rockets	106	Box Score		16,098	Toyota Center		
Mon, Nov 14, 2022	8:00p	Atlanta Hawks	121	Milwaukee Bucks	106	Box Score		17,341	Fiserv Forum		
Mon, Nov 14, 2022	10:00p	San Antonio Spurs	95	Golden State Warriors	132	Box Score		18,064	Chase Center		
Tue, Nov 15, 2022	7:30p	Memphis Grizzlies	102	New Orleans Pelicans	113	Box Score		14,032	Smoothie King Center		
Tue, Nov 15, 2022	8:30p	Los Angeles Clippers	101	Dallas Mavericks	103	Box Score		19,810	American Airlines Center		
Tue, Nov 15, 2022	9:00p	New York Knicks	118	Utah Jazz	111	Box Score		18,206	Vivint Arena		
Tue, Nov 15, 2022	10:00p	San Antonio Spurs	110	Portland Trail Blazers	117	Box Score		19,012	Moda Center		
Tue, Nov 15, 2022	10:00p	Brooklyn Nets	121	Sacramento Kings	153	Box Score		17,611	Golden 1 Center		
Wed, Nov 16, 2022	7:00p	Indiana Pacers	125	Charlotte Hornets	113	Box Score		14,756	Spectrum Center		
Wed, Nov 16, 2022	7:00p	Minnesota Timberwolves	126	Orlando Magic	108	Box Score		16,527	Amway Center		
Wed, Nov 16, 2022	7:00p	Oklahoma City Thunder	121	Washington Wizards	120	Box Score		12,630	Capital One Arena		
Wed, Nov 16, 2022	7:30p	Boston Celtics	126	Atlanta Hawks	101	Box Score		18,165	State Farm Arena		
Wed, Nov 16, 2022	7:30p	Miami Heat	104	Toronto Raptors	112	Box Score		19,800	Scotiabank Arena		
Wed, Nov 16, 2022	8:00p	Cleveland Cavaliers	98	Milwaukee Bucks	113	Box Score		17,341	Fiserv Forum		
Wed, Nov 16, 2022	8:00p	Chicago Bulls	110	New Orleans Pelicans	124	Box Score		14,658	Smoothie King Center		
Wed, Nov 16, 2022	8:30p	Houston Rockets	101	Dallas Mavericks	92	Box Score		19,602	American Airlines Center		
Wed, Nov 16, 2022	10:00p	New York Knicks	106	Denver Nuggets	103	Box Score		18,210	Ball Arena		
Wed, Nov 16, 2022	10:00p	Golden State Warriors	119	Phoenix Suns	130	Box Score		17,071	Footprint Center		
Thu, Nov 17, 2022	10:00p	Brooklyn Nets	109	Portland Trail Blazers	107	Box Score		19,393	Moda Center		
Thu, Nov 17, 2022	10:00p	San Antonio Spurs	112	Sacramento Kings	130	Box Score		16,522	Golden 1 Center		
Thu, Nov 17, 2022	10:30p	Detroit Pistons	91	Los Angeles Clippers	96	Box Score		17,822	Crypto.com Arena		
Fri, Nov 18, 2022	7:00p	Miami Heat	106	Washington Wizards	107	Box Score	OT	18,772	Capital One Arena		
Fri, Nov 18, 2022	7:30p	Charlotte Hornets	122	Cleveland Cavaliers	132	Box Score	2OT	19,432	Rocket Mortgage Fieldhouse		
Fri, Nov 18, 2022	7:30p	Milwaukee Bucks	102	Philadelphia 76ers	110	Box Score		19,769	Wells Fargo Center		
Fri, Nov 18, 2022	8:00p	Orlando Magic	108	Chicago Bulls	107	Box Score		21,031	United Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Fri, Nov 18, 2022	8:00p	Indiana Pacers	99	Houston Rockets	91	Box Score		15,882	Toyota Center		
Fri, Nov 18, 2022	8:00p	Oklahoma City Thunder	110	Memphis Grizzlies	121	Box Score		17,324	FedEx Forum		
Fri, Nov 18, 2022	8:30p	Denver Nuggets	99	Dallas Mavericks	127	Box Score		20,135	American Airlines Center		
Fri, Nov 18, 2022	8:30p	Boston Celtics	117	New Orleans Pelicans	109	Box Score		17,828	Smoothie King Center		
Fri, Nov 18, 2022	9:00p	Phoenix Suns	133	Utah Jazz	134	Box Score		18,206	Vivint Arena		
Fri, Nov 18, 2022	10:00p	New York Knicks	101	Golden State Warriors	111	Box Score		18,064	Chase Center		
Fri, Nov 18, 2022	10:30p	Detroit Pistons	121	Los Angeles Lakers	128	Box Score		18,095	Crypto.com Arena		
Sat, Nov 19, 2022	6:00p	Toronto Raptors	122	Atlanta Hawks	124	Box Score	OT	18,051	State Farm Arena		
Sat, Nov 19, 2022	7:00p	Orlando Magic	113	Indiana Pacers	114	Box Score		14,478	Gainbridge Fieldhouse		
Sat, Nov 19, 2022	7:30p	Minnesota Timberwolves	112	Philadelphia 76ers	109	Box Score		20,515	Wells Fargo Center		
Sat, Nov 19, 2022	10:00p	Utah Jazz	118	Portland Trail Blazers	113	Box Score		19,595	Moda Center		
Sat, Nov 19, 2022	10:30p	San Antonio Spurs	97	Los Angeles Clippers	119	Box Score		18,581	Crypto.com Arena		
Sun, Nov 20, 2022	3:30p	New York Knicks	95	Phoenix Suns	116	Box Score		17,071	Footprint Center		
Sun, Nov 20, 2022	6:00p	Detroit Pistons	129	Sacramento Kings	137	Box Score		17,866	Golden 1 Center		
Sun, Nov 20, 2022	6:00p	Charlotte Hornets	102	Washington Wizards	106	Box Score		14,289	Capital One Arena		
Sun, Nov 20, 2022	7:00p	Memphis Grizzlies	115	Brooklyn Nets	127	Box Score		18,241	Barclays Center		
Sun, Nov 20, 2022	7:00p	Miami Heat	87	Cleveland Cavaliers	113	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sun, Nov 20, 2022	7:00p	Golden State Warriors	127	Houston Rockets	120	Box Score		18,055	Toyota Center		
Sun, Nov 20, 2022	7:30p	Denver Nuggets	98	Dallas Mavericks	97	Box Score		20,244	American Airlines Center		
Sun, Nov 20, 2022	9:30p	San Antonio Spurs	92	Los Angeles Lakers	123	Box Score		18,211	Crypto.com Arena		
Mon, Nov 21, 2022	7:00p	Atlanta Hawks	102	Cleveland Cavaliers	114	Box Score		19,432	Rocket Mortgage Fieldhouse		
Mon, Nov 21, 2022	7:00p	Orlando Magic	102	Indiana Pacers	123	Box Score		14,029	Gainbridge Fieldhouse		
Mon, Nov 21, 2022	8:00p	Boston Celtics	107	Chicago Bulls	121	Box Score		20,786	United Center		
Mon, Nov 21, 2022	8:00p	Portland Trail Blazers	111	Milwaukee Bucks	119	Box Score		17,341	Fiserv Forum		
Mon, Nov 21, 2022	8:00p	Miami Heat	101	Minnesota Timberwolves	105	Box Score		16,583	Target Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Mon, Nov 21, 2022	8:00p	Golden State Warriors	83	New Orleans Pelicans	128	Box Score		18,589	Smoothie King Center		
Mon, Nov 21, 2022	8:00p	New York Knicks	129	Oklahoma City Thunder	119	Box Score		15,079	Paycom Center		
Mon, Nov 21, 2022	10:30p	Utah Jazz	114	Los Angeles Clippers	121	Box Score		19,068	Crypto.com Arena		
Tue, Nov 22, 2022	7:30p	Brooklyn Nets	106	Philadelphia 76ers	115	Box Score		20,184	Wells Fargo Center		
Tue, Nov 22, 2022	8:00p	Sacramento Kings	113	Memphis Grizzlies	109	Box Score		16,826	FedEx Forum		
Tue, Nov 22, 2022	9:00p	Detroit Pistons	110	Denver Nuggets	108	Box Score		19,635	Ball Arena		
Tue, Nov 22, 2022	10:00p	Los Angeles Lakers	105	Phoenix Suns	115	Box Score		17,071	Footprint Center		
Wed, Nov 23, 2022	7:00p	Philadelphia 76ers	101	Charlotte Hornets	107	Box Score		16,910	Spectrum Center		
Wed, Nov 23, 2022	7:00p	Portland Trail Blazers	96	Cleveland Cavaliers	114	Box Score		19,432	Rocket Mortgage Fieldhouse		
Wed, Nov 23, 2022	7:00p	Minnesota Timberwolves	115	Indiana Pacers	101	Box Score		15,751	Gainbridge Fieldhouse		
Wed, Nov 23, 2022	7:30p	Sacramento Kings	106	Atlanta Hawks	115	Box Score		18,173	State Farm Arena		
Wed, Nov 23, 2022	7:30p	Dallas Mavericks	112	Boston Celtics	125	Box Score		19,156	TD Garden		
Wed, Nov 23, 2022	7:30p	Washington Wizards	105	Miami Heat	113	Box Score		19,600	Kaseya Center		
Wed, Nov 23, 2022	7:30p	Brooklyn Nets	112	Toronto Raptors	98	Box Score		19,800	Scotiabank Arena		
Wed, Nov 23, 2022	8:00p	Chicago Bulls	118	Milwaukee Bucks	113	Box Score		17,341	Fiserv Forum		
Wed, Nov 23, 2022	8:00p	Denver Nuggets	131	Oklahoma City Thunder	126	Box Score	OT	13,656	Paycom Center		
Wed, Nov 23, 2022	8:00p	New Orleans Pelicans	129	San Antonio Spurs	110	Box Score		14,947	AT&T Center		
Wed, Nov 23, 2022	9:00p	Detroit Pistons	125	Utah Jazz	116	Box Score		18,206	Vivint Arena		
Wed, Nov 23, 2022	10:00p	Los Angeles Clippers	107	Golden State Warriors	124	Box Score		18,064	Chase Center		
Fri, Nov 25, 2022	5:00p	Minnesota Timberwolves	108	Charlotte Hornets	110	Box Score		17,924	Spectrum Center		
