Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sun, Dec 11, 2022	6:30p	Chicago Bulls	122	Atlanta Hawks	123	Box Score	OT	17,227	State Farm Arena		
Sun, Dec 11, 2022	7:00p	Milwaukee Bucks	92	Houston Rockets	97	Box Score		16,268	Toyota Center		
Mon, Dec 12, 2022	7:00p	Miami Heat	87	Indiana Pacers	82	Box Score		15,309	Gainbridge Fieldhouse		
Mon, Dec 12, 2022	7:00p	Brooklyn Nets	112	Washington Wizards	100	Box Score		16,090	Capital One Arena		
Mon, Dec 12, 2022	8:00p	Atlanta Hawks	103	Memphis Grizzlies	128	Box Score		16,544	FedEx Forum		
Mon, Dec 12, 2022	8:30p	Oklahoma City Thunder	114	Dallas Mavericks	121	Box Score		19,877	American Airlines Center		
Mon, Dec 12, 2022	8:30p	Cleveland Cavaliers	111	San Antonio Spurs	112	Box Score		13,434	AT&T Center		
Mon, Dec 12, 2022	10:00p	Minnesota Timberwolves	112	Portland Trail Blazers	133	Box Score		18,021	Moda Center		
Mon, Dec 12, 2022	10:30p	Boston Celtics	93	Los Angeles Clippers	113	Box Score		19,068	Crypto.com Arena		
Tue, Dec 13, 2022	7:00p	Sacramento Kings	103	Philadelphia 76ers	123	Box Score		19,768	Wells Fargo Center		
Tue, Dec 13, 2022	7:30p	Golden State Warriors	111	Milwaukee Bucks	128	Box Score		17,628	Fiserv Forum		
Tue, Dec 13, 2022	8:00p	Phoenix Suns	97	Houston Rockets	111	Box Score		15,128	Toyota Center		
Tue, Dec 13, 2022	9:00p	New Orleans Pelicans	100	Utah Jazz	121	Box Score		18,206	Vivint Arena		
Tue, Dec 13, 2022	10:00p	Boston Celtics	122	Los Angeles Lakers	118	Box Score	OT	18,661	Crypto.com Arena		
Wed, Dec 14, 2022	7:00p	Detroit Pistons	141	Charlotte Hornets	134	Box Score	OT	14,303	Spectrum Center		
Wed, Dec 14, 2022	7:00p	Golden State Warriors	119	Indiana Pacers	125	Box Score		15,069	Gainbridge Fieldhouse		
Wed, Dec 14, 2022	7:00p	Atlanta Hawks	124	Orlando Magic	135	Box Score		16,002	Amway Center		
Wed, Dec 14, 2022	7:30p	New York Knicks	128	Chicago Bulls	120	Box Score	OT	18,820	United Center		
Wed, Dec 14, 2022	7:30p	Sacramento Kings	124	Toronto Raptors	123	Box Score		19,800	Scotiabank Arena		
Wed, Dec 14, 2022	8:00p	Miami Heat	110	Oklahoma City Thunder	108	Box Score		14,783	Paycom Center		
Wed, Dec 14, 2022	8:00p	Portland Trail Blazers	128	San Antonio Spurs	112	Box Score		13,657	AT&T Center		
Wed, Dec 14, 2022	9:00p	Cleveland Cavaliers	105	Dallas Mavericks	90	Box Score		20,093	American Airlines Center		
Wed, Dec 14, 2022	9:00p	Washington Wizards	128	Denver Nuggets	141	Box Score		19,550	Ball Arena		
Wed, Dec 14, 2022	10:00p	Minnesota Timberwolves	88	Los Angeles Clippers	99	Box Score		14,063	Crypto.com Arena		
Thu, Dec 15, 2022	8:00p	Miami Heat	111	Houston Rockets	108	Box Score		16,210	Toyota Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Thu, Dec 15, 2022	8:00p	Milwaukee Bucks	101	Memphis Grizzlies	142	Box Score		17,794	FedEx Forum		
Thu, Dec 15, 2022	9:00p	New Orleans Pelicans	129	Utah Jazz	132	Box Score	OT	18,206	Vivint Arena		
Thu, Dec 15, 2022	10:30p	Phoenix Suns	111	Los Angeles Clippers	95	Box Score		15,778	Crypto.com Arena		
Fri, Dec 16, 2022	7:00p	Atlanta Hawks	125	Charlotte Hornets	106	Box Score		17,772	Spectrum Center		
Fri, Dec 16, 2022	7:00p	Sacramento Kings	122	Detroit Pistons	113	Box Score		17,892	Little Caesars Arena		
Fri, Dec 16, 2022	7:30p	Orlando Magic	117	Boston Celtics	109	Box Score		19,156	TD Garden		
Fri, Dec 16, 2022	7:30p	Indiana Pacers	112	Cleveland Cavaliers	118	Box Score		19,432	Rocket Mortgage Fieldhouse		
Fri, Dec 16, 2022	7:30p	Golden State Warriors	106	Philadelphia 76ers	118	Box Score		20,567	Wells Fargo Center		
Fri, Dec 16, 2022	7:30p	Brooklyn Nets	119	Toronto Raptors	116	Box Score		19,800	Scotiabank Arena		
Fri, Dec 16, 2022	8:00p	New York Knicks	114	Chicago Bulls	91	Box Score		19,661	United Center		
Fri, Dec 16, 2022	8:00p	Minnesota Timberwolves	112	Oklahoma City Thunder	110	Box Score		14,885	Paycom Center		
Fri, Dec 16, 2022	8:30p	Portland Trail Blazers	110	Dallas Mavericks	130	Box Score		20,191	American Airlines Center		
Fri, Dec 16, 2022	10:00p	Denver Nuggets	108	Los Angeles Lakers	126	Box Score		18,505	Crypto.com Arena		
Sat, Dec 17, 2022	4:00p	Washington Wizards	93	Los Angeles Clippers	102	Box Score		15,018	Crypto.com Arena		
Sat, Dec 17, 2022	5:00p	Miami Heat	111	San Antonio Spurs	101	Box Score		20,160	Mexico City Arena		
Sat, Dec 17, 2022	8:00p	Dallas Mavericks	99	Cleveland Cavaliers	100	Box Score	OT	19,432	Rocket Mortgage Fieldhouse		
Sat, Dec 17, 2022	8:00p	Portland Trail Blazers	107	Houston Rockets	95	Box Score		16,217	Toyota Center		
Sat, Dec 17, 2022	8:00p	Utah Jazz	97	Milwaukee Bucks	123	Box Score		17,587	Fiserv Forum		
Sat, Dec 17, 2022	8:00p	Memphis Grizzlies	109	Oklahoma City Thunder	115	Box Score		16,895	Paycom Center		
Sat, Dec 17, 2022	9:00p	New Orleans Pelicans	114	Phoenix Suns	118	Box Score		17,071	Footprint Center		
Sun, Dec 18, 2022	3:00p	Orlando Magic	95	Boston Celtics	92	Box Score		19,156	TD Garden		
Sun, Dec 18, 2022	5:00p	New York Knicks	109	Indiana Pacers	106	Box Score		14,513	Gainbridge Fieldhouse		
Sun, Dec 18, 2022	6:00p	Brooklyn Nets	124	Detroit Pistons	121	Box Score		19,488	Little Caesars Arena		
Sun, Dec 18, 2022	6:00p	Golden State Warriors	126	Toronto Raptors	110	Box Score		19,800	Scotiabank Arena		
Sun, Dec 18, 2022	7:00p	Chicago Bulls	126	Minnesota Timberwolves	150	Box Score		16,294	Target Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sun, Dec 18, 2022	8:00p	Charlotte Hornets	115	Denver Nuggets	119	Box Score		19,235	Ball Arena		
Sun, Dec 18, 2022	9:30p	Washington Wizards	117	Los Angeles Lakers	119	Box Score		18,153	Crypto.com Arena		
Mon, Dec 19, 2022	7:00p	Utah Jazz	99	Cleveland Cavaliers	122	Box Score		19,432	Rocket Mortgage Fieldhouse		
Mon, Dec 19, 2022	7:00p	Toronto Raptors	101	Philadelphia 76ers	104	Box Score	OT	20,408	Wells Fargo Center		
Mon, Dec 19, 2022	7:30p	Orlando Magic	125	Atlanta Hawks	126	Box Score		17,809	State Farm Arena		
Mon, Dec 19, 2022	8:00p	San Antonio Spurs	124	Houston Rockets	105	Box Score		15,928	Toyota Center		
Mon, Dec 19, 2022	8:00p	Dallas Mavericks	106	Minnesota Timberwolves	116	Box Score		16,627	Target Center		
