Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sat, Mar 18, 2023	8:00p	Golden State Warriors	119	Memphis Grizzlies	133	Box Score		18,396	FedEx Forum		
Sat, Mar 18, 2023	8:00p	Sacramento Kings	132	Washington Wizards	118	Box Score		18,529	Capital One Arena		
Sat, Mar 18, 2023	9:00p	Boston Celtics	117	Utah Jazz	118	Box Score		18,206	Vivint Arena		
Sun, Mar 19, 2023	3:30p	Denver Nuggets	108	Brooklyn Nets	102	Box Score		18,235	Barclays Center		
Sun, Mar 19, 2023	3:30p	Phoenix Suns	120	Oklahoma City Thunder	124	Box Score		17,897	Paycom Center		
Sun, Mar 19, 2023	4:00p	Atlanta Hawks	118	San Antonio Spurs	126	Box Score		16,311	AT&T Center		
Sun, Mar 19, 2023	6:00p	Miami Heat	112	Detroit Pistons	100	Box Score		20,190	Little Caesars Arena		
Sun, Mar 19, 2023	7:00p	New Orleans Pelicans	117	Houston Rockets	107	Box Score		14,209	Toyota Center		
Sun, Mar 19, 2023	8:00p	Toronto Raptors	111	Milwaukee Bucks	118	Box Score		17,341	Fiserv Forum		
Sun, Mar 19, 2023	9:00p	Los Angeles Clippers	117	Portland Trail Blazers	102	Box Score		18,714	Moda Center		
Sun, Mar 19, 2023	9:30p	Orlando Magic	105	Los Angeles Lakers	111	Box Score		18,997	Crypto.com Arena		
Mon, Mar 20, 2023	7:00p	Indiana Pacers	109	Charlotte Hornets	115	Box Score		12,449	Spectrum Center		
Mon, Mar 20, 2023	7:00p	Chicago Bulls	109	Philadelphia 76ers	105	Box Score	2OT	21,145	Wells Fargo Center		
Mon, Mar 20, 2023	7:30p	Minnesota Timberwolves	140	New York Knicks	134	Box Score		19,812	Madison Square Garden (IV)		
Mon, Mar 20, 2023	8:00p	Golden State Warriors	121	Houston Rockets	108	Box Score		16,116	Toyota Center		
Mon, Mar 20, 2023	8:00p	Dallas Mavericks	108	Memphis Grizzlies	112	Box Score		17,794	FedEx Forum		
Mon, Mar 20, 2023	9:00p	Sacramento Kings	120	Utah Jazz	128	Box Score		18,206	Vivint Arena		
Tue, Mar 21, 2023	7:00p	Washington Wizards	112	Orlando Magic	122	Box Score		16,096	Amway Center		
Tue, Mar 21, 2023	7:30p	Detroit Pistons	107	Atlanta Hawks	129	Box Score		17,129	State Farm Arena		
Tue, Mar 21, 2023	7:30p	Cleveland Cavaliers	115	Brooklyn Nets	109	Box Score		17,732	Barclays Center		
Tue, Mar 21, 2023	8:00p	San Antonio Spurs	84	New Orleans Pelicans	119	Box Score		15,466	Smoothie King Center		
Tue, Mar 21, 2023	10:00p	Boston Celtics	132	Sacramento Kings	109	Box Score		18,111	Golden 1 Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Tue, Mar 21, 2023	10:30p	Oklahoma City Thunder	101	Los Angeles Clippers	100	Box Score		19,068	Crypto.com Arena		
Wed, Mar 22, 2023	7:00p	Denver Nuggets	118	Washington Wizards	104	Box Score		16,508	Capital One Arena		
Wed, Mar 22, 2023	7:30p	Golden State Warriors	127	Dallas Mavericks	125	Box Score		20,377	American Airlines Center		
Wed, Mar 22, 2023	7:30p	New York Knicks	120	Miami Heat	127	Box Score		19,863	Kaseya Center		
Wed, Mar 22, 2023	7:30p	Indiana Pacers	118	Toronto Raptors	114	Box Score		19,800	Scotiabank Arena		
Wed, Mar 22, 2023	8:00p	Philadelphia 76ers	116	Chicago Bulls	91	Box Score		20,946	United Center		
Wed, Mar 22, 2023	8:00p	Houston Rockets	125	Memphis Grizzlies	130	Box Score		17,794	FedEx Forum		
Wed, Mar 22, 2023	8:00p	San Antonio Spurs	94	Milwaukee Bucks	130	Box Score		17,756	Fiserv Forum		
Wed, Mar 22, 2023	8:00p	Atlanta Hawks	124	Minnesota Timberwolves	125	Box Score		17,136	Target Center		
Wed, Mar 22, 2023	9:00p	Portland Trail Blazers	127	Utah Jazz	115	Box Score			Vivint Arena		
Wed, Mar 22, 2023	10:00p	Phoenix Suns	111	Los Angeles Lakers	122	Box Score		18,435	Crypto.com Arena		
Thu, Mar 23, 2023	7:00p	New York Knicks	106	Orlando Magic	111	Box Score		17,607	Amway Center		
Thu, Mar 23, 2023	7:30p	Cleveland Cavaliers	116	Brooklyn Nets	114	Box Score		17,732	Barclays Center		
Thu, Mar 23, 2023	8:00p	Charlotte Hornets	96	New Orleans Pelicans	115	Box Score		15,749	Smoothie King Center		
Thu, Mar 23, 2023	10:30p	Oklahoma City Thunder	105	Los Angeles Clippers	127	Box Score		17,307	Crypto.com Arena		
Fri, Mar 24, 2023	7:00p	Indiana Pacers	95	Boston Celtics	120	Box Score		19,156	TD Garden		
Fri, Mar 24, 2023	7:00p	San Antonio Spurs	124	Washington Wizards	136	Box Score		17,004	Capital One Arena		
Fri, Mar 24, 2023	7:30p	Detroit Pistons	97	Toronto Raptors	118	Box Score		19,800	Scotiabank Arena		
Fri, Mar 24, 2023	8:00p	Houston Rockets	114	Memphis Grizzlies	151	Box Score		17,851	FedEx Forum		
Fri, Mar 24, 2023	8:30p	Charlotte Hornets	117	Dallas Mavericks	109	Box Score		20,347	American Airlines Center		
Fri, Mar 24, 2023	9:00p	Milwaukee Bucks	144	Utah Jazz	116	Box Score		18,206	Vivint Arena		
Fri, Mar 24, 2023	10:00p	Philadelphia 76ers	112	Golden State Warriors	120	Box Score		18,064	Chase Center		
Fri, Mar 24, 2023	10:00p	Chicago Bulls	124	Portland Trail Blazers	96	Box Score		19,393	Moda Center		
Fri, Mar 24, 2023	10:00p	Phoenix Suns	127	Sacramento Kings	135	Box Score		18,151	Golden 1 Center		
Fri, Mar 24, 2023	10:30p	Oklahoma City Thunder	111	Los Angeles Lakers	116	Box Score		18,997	Crypto.com Arena		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sat, Mar 25, 2023	5:00p	Indiana Pacers	130	Atlanta Hawks	143	Box Score		17,699	State Farm Arena		
Sat, Mar 25, 2023	8:00p	Brooklyn Nets	129	Miami Heat	100	Box Score		19,680	Kaseya Center		
Sat, Mar 25, 2023	9:00p	Milwaukee Bucks	106	Denver Nuggets	129	Box Score		19,919	Ball Arena		
Sat, Mar 25, 2023	10:00p	Philadelphia 76ers	105	Phoenix Suns	125	Box Score		17,071	Footprint Center		
Sat, Mar 25, 2023	10:00p	Utah Jazz	113	Sacramento Kings	121	Box Score		18,151	Golden 1 Center		
Sat, Mar 25, 2023	10:30p	New Orleans Pelicans	131	Los Angeles Clippers	110	Box Score		17,702	Crypto.com Arena		
Sun, Mar 26, 2023	1:00p	Dallas Mavericks	104	Charlotte Hornets	110	Box Score		19,264	Spectrum Center		
Sun, Mar 26, 2023	3:30p	Chicago Bulls	118	Los Angeles Lakers	108	Box Score		18,997	Crypto.com Arena		
Sun, Mar 26, 2023	6:00p	Memphis Grizzlies	123	Atlanta Hawks	119	Box Score		18,056	State Farm Arena		
Sun, Mar 26, 2023	6:00p	San Antonio Spurs	93	Boston Celtics	137	Box Score		19,156	TD Garden		
Sun, Mar 26, 2023	6:00p	Houston Rockets	91	Cleveland Cavaliers	108	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sun, Mar 26, 2023	6:00p	Brooklyn Nets	106	Orlando Magic	119	Box Score		17,862	Amway Center		
Sun, Mar 26, 2023	6:00p	Washington Wizards	104	Toronto Raptors	114	Box Score		19,800	Scotiabank Arena		
Sun, Mar 26, 2023	7:00p	Oklahoma City Thunder	118	Portland Trail Blazers	112	Box Score		18,626	Moda Center		
Sun, Mar 26, 2023	8:30p	Minnesota Timberwolves	99	Golden State Warriors	96	Box Score		18,064	Chase Center		
