Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sat, Feb 11, 2023	7:30p	Utah Jazz	120	New York Knicks	126	Box Score		19,339	Madison Square Garden (IV)		
Sat, Feb 11, 2023	8:00p	Chicago Bulls	89	Cleveland Cavaliers	97	Box Score		19,432	Rocket Mortgage Fieldhouse		
Sat, Feb 11, 2023	8:30p	Los Angeles Lakers	109	Golden State Warriors	103	Box Score		18,064	Chase Center		
Sat, Feb 11, 2023	10:00p	Dallas Mavericks	128	Sacramento Kings	133	Box Score	OT	18,111	Golden 1 Center		
Sun, Feb 12, 2023	2:00p	Memphis Grizzlies	109	Boston Celtics	119	Box Score		19,156	TD Garden		
Sun, Feb 12, 2023	3:00p	Detroit Pistons	118	Toronto Raptors	119	Box Score		19,800	Scotiabank Arena		
Mon, Feb 13, 2023	7:00p	Atlanta Hawks	138	Charlotte Hornets	144	Box Score		14,078	Spectrum Center		
Mon, Feb 13, 2023	7:00p	San Antonio Spurs	109	Cleveland Cavaliers	117	Box Score		19,432	Rocket Mortgage Fieldhouse		
Mon, Feb 13, 2023	7:00p	Utah Jazz	123	Indiana Pacers	117	Box Score		15,004	Gainbridge Fieldhouse		
Mon, Feb 13, 2023	7:00p	Houston Rockets	104	Philadelphia 76ers	123	Box Score		19,850	Wells Fargo Center		
Mon, Feb 13, 2023	7:30p	Denver Nuggets	112	Miami Heat	108	Box Score		19,755	Kaseya Center		
Mon, Feb 13, 2023	7:30p	Brooklyn Nets	106	New York Knicks	124	Box Score		19,812	Madison Square Garden (IV)		
Mon, Feb 13, 2023	8:00p	Orlando Magic	100	Chicago Bulls	91	Box Score		20,767	United Center		
Mon, Feb 13, 2023	8:00p	New Orleans Pelicans	103	Oklahoma City Thunder	100	Box Score		14,920	Paycom Center		
Mon, Feb 13, 2023	8:30p	Minnesota Timberwolves	124	Dallas Mavericks	121	Box Score		20,325	American Airlines Center		
Mon, Feb 13, 2023	10:00p	Washington Wizards	126	Golden State Warriors	135	Box Score		18,064	Chase Center		
Mon, Feb 13, 2023	10:00p	Los Angeles Lakers	115	Portland Trail Blazers	127	Box Score		18,299	Moda Center		
Tue, Feb 14, 2023	7:30p	Boston Celtics	125	Milwaukee Bucks	131	Box Score	OT	17,623	Fiserv Forum		
Tue, Feb 14, 2023	7:30p	Orlando Magic	113	Toronto Raptors	123	Box Score		19,800	Scotiabank Arena		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Tue, Feb 14, 2023	9:00p	Sacramento Kings	109	Phoenix Suns	120	Box Score		17,071	Footprint Center		
Tue, Feb 14, 2023	10:00p	Golden State Warriors	124	Los Angeles Clippers	134	Box Score		16,741	Crypto.com Arena		
Tue, Feb 14, 2023	10:00p	Washington Wizards	126	Portland Trail Blazers	101	Box Score		18,004	Moda Center		
Wed, Feb 15, 2023	7:00p	San Antonio Spurs	110	Charlotte Hornets	120	Box Score		14,155	Spectrum Center		
Wed, Feb 15, 2023	7:00p	Chicago Bulls	113	Indiana Pacers	117	Box Score		15,599	Gainbridge Fieldhouse		
Wed, Feb 15, 2023	7:30p	New York Knicks	122	Atlanta Hawks	101	Box Score		17,771	State Farm Arena		
Wed, Feb 15, 2023	7:30p	Detroit Pistons	109	Boston Celtics	127	Box Score		19,156	TD Garden		
Wed, Feb 15, 2023	7:30p	Miami Heat	105	Brooklyn Nets	116	Box Score		17,963	Barclays Center		
Wed, Feb 15, 2023	7:30p	Cleveland Cavaliers	112	Philadelphia 76ers	118	Box Score		21,134	Wells Fargo Center		
Wed, Feb 15, 2023	8:00p	Utah Jazz	111	Memphis Grizzlies	117	Box Score		16,748	FedEx Forum		
Wed, Feb 15, 2023	8:00p	Houston Rockets	96	Oklahoma City Thunder	133	Box Score		14,988	Paycom Center		
Wed, Feb 15, 2023	9:00p	Dallas Mavericks	109	Denver Nuggets	118	Box Score		19,627	Ball Arena		
Wed, Feb 15, 2023	10:00p	New Orleans Pelicans	102	Los Angeles Lakers	120	Box Score		18,997	Crypto.com Arena		
Thu, Feb 16, 2023	7:30p	Milwaukee Bucks	112	Chicago Bulls	100	Box Score		20,308	United Center		
Thu, Feb 16, 2023	8:00p	Washington Wizards	114	Minnesota Timberwolves	106	Box Score		17,136	Target Center		
Thu, Feb 16, 2023	10:00p	Los Angeles Clippers	116	Phoenix Suns	107	Box Score		17,071	Footprint Center		
